"b_start","series","rate","panel","measure","analysis_model","config"
25,"FWER",0.046525,"Big stick design (a = 3)","Type I error","lm_time","Chronological bias (beta=0.826)"
37,"A",0.0244125,"Big stick design (a = 3)","Type I error","lm_time","Chronological bias (beta=0.826)"
37,"B",0.0243125,"Big stick design (a = 3)","Type I error","lm_time","Chronological bias (beta=0.826)"
37,"FWER",0.0474875,"Big stick design (a = 3)","Type I error","lm_time","Chronological bias (beta=0.826)"
49,"A",0.0240625,"Big stick design (a = 3)","Type I error","lm_time","Chronological bias (beta=0.826)"
49,"B",0.02375,"Big stick design (a = 3)","Type I error","lm_time","Chronological bias (beta=0.826)"
49,"FWER",0.0468875,"Big stick design (a = 3)","Type I error","lm_time","Chronological bias (beta=0.826)"
1,"A",0.0247375,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
1,"B",0.0245375,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
1,"FWER",0.0452125,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
13,"A",0.025425,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
13,"B",0.0421,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
13,"FWER",0.0622875,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
25,"A",0.02515,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
25,"B",0.0653875,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
25,"FWER",0.0849625,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
37,"A",0.0252375,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
37,"B",0.092725,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
37,"FWER",0.1115,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
49,"A",0.024825,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
49,"B",0.118675,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
49,"FWER",0.1365875,"Complete randomization","Type I error","ttest","Chronological bias (beta=0.826)"
1,"A",0.024325,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
1,"B",0.0250125,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
1,"FWER",0.0448625,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
13,"A",0.0249875,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
13,"B",0.0251,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
13,"FWER",0.0464625,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
25,"A",0.02495,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
25,"B",0.02345,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
25,"FWER",0.0462125,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
37,"A",0.0243625,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
37,"B",0.02515,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
37,"FWER",0.047975,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
49,"A",0.0252,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
49,"B",0.025,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
49,"FWER",0.0495,"Complete randomization","Type I error","lm_time","Chronological bias (beta=0.826)"
1,"A",0.024625,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
1,"B",0.0249125,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
1,"FWER",0.044675,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
13,"A",0.0269125,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
13,"B",0.024175,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
13,"FWER",0.04715,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
25,"A",0.025625,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
25,"B",0.025,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
25,"FWER",0.0478625,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
37,"A",0.0251,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
37,"B",0.0250125,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
37,"FWER",0.0474125,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
49,"A",0.024525,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
49,"B",0.0253,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
49,"FWER",0.0477,"Permuted block randomization (factor = 1)","Type I error","ttest","PBR (no bias)"
1,"A",0.02435,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
1,"B",0.024075,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
1,"FWER",0.0439125,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
13,"A",0.026275,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
13,"B",0.025425,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
13,"FWER",0.047875,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
25,"A",0.0248375,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
25,"B",0.0254,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
25,"FWER",0.0479,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
37,"A",0.02515,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
37,"B",0.0256625,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
37,"FWER",0.0491375,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
49,"A",0.0256875,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
49,"B",0.0243875,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
49,"FWER",0.049275,"Permuted block randomization (factor = 1)","Type I error","lm_time","PBR (no bias)"
