"b_start","panel","config","series","analysis_model","rate"
49,"Complete randomization","favor_all_exp_2step (eta>0)","FWER","ttest",0.8545875
1,"Complete randomization","favor_B (eta>0)","A","lm_time",0.60095
1,"Complete randomization","favor_B (eta>0)","B","lm_time",0.6104375
1,"Complete randomization","favor_B (eta>0)","FWER","lm_time",0.7682375
1,"Complete randomization","favor_B_2step (eta>0)","A","lm_time",0.5434125
1,"Complete randomization","favor_B_2step (eta>0)","B","lm_time",0.650425
1,"Complete randomization","favor_B_2step (eta>0)","FWER","lm_time",0.7661875
1,"Complete randomization","favor_all_exp (eta>0)","A","lm_time",0.6026875
1,"Complete randomization","favor_all_exp (eta>0)","B","lm_time",0.6030375
1,"Complete randomization","favor_all_exp (eta>0)","FWER","lm_time",0.767075
1,"Complete randomization","favor_all_exp_2step (eta>0)","A","lm_time",0.6046375
1,"Complete randomization","favor_all_exp_2step (eta>0)","B","lm_time",0.605225
1,"Complete randomization","favor_all_exp_2step (eta>0)","FWER","lm_time",0.7716875
13,"Complete randomization","favor_B (eta>0)","A","lm_time",0.59135
13,"Complete randomization","favor_B (eta>0)","B","lm_time",0.62925
13,"Complete randomization","favor_B (eta>0)","FWER","lm_time",0.7855875
13,"Complete randomization","favor_B_2step (eta>0)","A","lm_time",0.5488375
13,"Complete randomization","favor_B_2step (eta>0)","B","lm_time",0.6650625
13,"Complete randomization","favor_B_2step (eta>0)","FWER","lm_time",0.7871375
13,"Complete randomization","favor_all_exp (eta>0)","A","lm_time",0.6033375
13,"Complete randomization","favor_all_exp (eta>0)","B","lm_time",0.6274125
13,"Complete randomization","favor_all_exp (eta>0)","FWER","lm_time",0.7882125
13,"Complete randomization","favor_all_exp_2step (eta>0)","A","lm_time",0.6068375
13,"Complete randomization","favor_all_exp_2step (eta>0)","B","lm_time",0.6262
13,"Complete randomization","favor_all_exp_2step (eta>0)","FWER","lm_time",0.792875
25,"Complete randomization","favor_B (eta>0)","A","lm_time",0.5938125
25,"Complete randomization","favor_B (eta>0)","B","lm_time",0.641375
25,"Complete randomization","favor_B (eta>0)","FWER","lm_time",0.8098875
25,"Complete randomization","favor_B_2step (eta>0)","A","lm_time",0.5611375
25,"Complete randomization","favor_B_2step (eta>0)","B","lm_time",0.66815
25,"Complete randomization","favor_B_2step (eta>0)","FWER","lm_time",0.812
25,"Complete randomization","favor_all_exp (eta>0)","A","lm_time",0.6038375
25,"Complete randomization","favor_all_exp (eta>0)","B","lm_time",0.6379
25,"Complete randomization","favor_all_exp (eta>0)","FWER","lm_time",0.8128
25,"Complete randomization","favor_all_exp_2step (eta>0)","A","lm_time",0.6084875
25,"Complete randomization","favor_all_exp_2step (eta>0)","B","lm_time",0.6343375
25,"Complete randomization","favor_all_exp_2step (eta>0)","FWER","lm_time",0.81405
37,"Complete randomization","favor_B (eta>0)","A","lm_time",0.58635
37,"Complete randomization","favor_B (eta>0)","B","lm_time",0.6371
37,"Complete randomization","favor_B (eta>0)","FWER","lm_time",0.8251
37,"Complete randomization","favor_B_2step (eta>0)","A","lm_time",0.5717125
37,"Complete randomization","favor_B_2step (eta>0)","B","lm_time",0.6498625
37,"Complete randomization","favor_B_2step (eta>0)","FWER","lm_time",0.8255375
37,"Complete randomization","favor_all_exp (eta>0)","A","lm_time",0.6041625
37,"Complete randomization","favor_all_exp (eta>0)","B","lm_time",0.6368375
37,"Complete randomization","favor_all_exp (eta>0)","FWER","lm_time",0.8307375
37,"Complete randomization","favor_all_exp_2step (eta>0)","A","lm_time",0.60355
37,"Complete randomization","favor_all_exp_2step (eta>0)","B","lm_time",0.6353
37,"Complete randomization","favor_all_exp_2step (eta>0)","FWER","lm_time",0.8306375
49,"Complete randomization","favor_B (eta>0)","A","lm_time",0.5817375
49,"Complete randomization","favor_B (eta>0)","B","lm_time",0.6155875
49,"Complete randomization","favor_B (eta>0)","FWER","lm_time",0.833575
49,"Complete randomization","favor_B_2step (eta>0)","A","lm_time",0.5810875
49,"Complete randomization","favor_B_2step (eta>0)","B","lm_time",0.616775
49,"Complete randomization","favor_B_2step (eta>0)","FWER","lm_time",0.8337
49,"Complete randomization","favor_all_exp (eta>0)","A","lm_time",0.5985375
49,"Complete randomization","favor_all_exp (eta>0)","B","lm_time",0.6148625
49,"Complete randomization","favor_all_exp (eta>0)","FWER","lm_time",0.8416875
49,"Complete randomization","favor_all_exp_2step (eta>0)","A","lm_time",0.595275
49,"Complete randomization","favor_all_exp_2step (eta>0)","B","lm_time",0.6162875
49,"Complete randomization","favor_all_exp_2step (eta>0)","FWER","lm_time",0.841225
