"b_start","panel","config","series","analysis_model","rate"
49,"Permuted block randomization (factor = 1)","favor_B (eta>0)","FWER","ttest",0.9101875
49,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","A","ttest",0.599575
49,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","B","ttest",0.842275
49,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","FWER","ttest",0.9097875
49,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","A","ttest",0.6994125
49,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","B","ttest",0.8211625
49,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","FWER","ttest",0.918075
49,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","A","ttest",0.6969375
49,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","B","ttest",0.820675
49,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","FWER","ttest",0.9169875
49,"Permuted block randomization (factor = 1)","PBR (eta=0)","A","ttest",0.5991
49,"Permuted block randomization (factor = 1)","PBR (eta=0)","B","ttest",0.7319
49,"Permuted block randomization (factor = 1)","PBR (eta=0)","FWER","ttest",0.8559625
1,"Permuted block randomization (factor = 1)","favor_B (eta>0)","A","lm_time",0.6564875
1,"Permuted block randomization (factor = 1)","favor_B (eta>0)","B","lm_time",0.7072125
1,"Permuted block randomization (factor = 1)","favor_B (eta>0)","FWER","lm_time",0.8282375
1,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","A","lm_time",0.5860875
1,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","B","lm_time",0.722675
1,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","FWER","lm_time",0.813275
1,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","A","lm_time",0.7057125
1,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","B","lm_time",0.7067375
1,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","FWER","lm_time",0.8467625
1,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","A","lm_time",0.702925
1,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","B","lm_time",0.70635
1,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","FWER","lm_time",0.8456375
1,"Permuted block randomization (factor = 1)","PBR (eta=0)","A","lm_time",0.6003875
1,"Permuted block randomization (factor = 1)","PBR (eta=0)","B","lm_time",0.602525
1,"Permuted block randomization (factor = 1)","PBR (eta=0)","FWER","lm_time",0.7605
13,"Permuted block randomization (factor = 1)","favor_B (eta>0)","A","lm_time",0.641525
13,"Permuted block randomization (factor = 1)","favor_B (eta>0)","B","lm_time",0.7248
13,"Permuted block randomization (factor = 1)","favor_B (eta>0)","FWER","lm_time",0.8462625
13,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","A","lm_time",0.5894125
13,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","B","lm_time",0.741025
13,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","FWER","lm_time",0.839675
13,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","A","lm_time",0.7012125
13,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","B","lm_time",0.728725
13,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","FWER","lm_time",0.8673875
13,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","A","lm_time",0.7031875
13,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","B","lm_time",0.7255625
13,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","FWER","lm_time",0.867
13,"Permuted block randomization (factor = 1)","PBR (eta=0)","A","lm_time",0.6077
13,"Permuted block randomization (factor = 1)","PBR (eta=0)","B","lm_time",0.6226625
13,"Permuted block randomization (factor = 1)","PBR (eta=0)","FWER","lm_time",0.7885875
25,"Permuted block randomization (factor = 1)","favor_B (eta>0)","A","lm_time",0.62825
25,"Permuted block randomization (factor = 1)","favor_B (eta>0)","B","lm_time",0.7311
25,"Permuted block randomization (factor = 1)","favor_B (eta>0)","FWER","lm_time",0.860725
25,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","A","lm_time",0.59095
25,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","B","lm_time",0.746625
25,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","FWER","lm_time",0.8578375
25,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","A","lm_time",0.6988375
25,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","B","lm_time",0.7361875
25,"Permuted block randomization (factor = 1)","favor_all_exp (eta>0)","FWER","lm_time",0.884025
25,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","A","lm_time",0.7053875
25,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","B","lm_time",0.7348125
25,"Permuted block randomization (factor = 1)","favor_all_exp_2step (eta>0)","FWER","lm_time",0.8864125
25,"Permuted block randomization (factor = 1)","PBR (eta=0)","A","lm_time",0.6039
25,"Permuted block randomization (factor = 1)","PBR (eta=0)","B","lm_time",0.636975
25,"Permuted block randomization (factor = 1)","PBR (eta=0)","FWER","lm_time",0.812025
37,"Permuted block randomization (factor = 1)","favor_B (eta>0)","A","lm_time",0.613625
37,"Permuted block randomization (factor = 1)","favor_B (eta>0)","B","lm_time",0.727175
37,"Permuted block randomization (factor = 1)","favor_B (eta>0)","FWER","lm_time",0.872825
37,"Permuted block randomization (factor = 1)","favor_B_2step (eta>0)","A","lm_time",0.6019375
