"b_start","panel","analysis_model","config","t1e_A","t1e_B","fwer","alloc_bias_B"
49,"Permuted block randomization (factor = 1)","lm_time","favor_B (eta>0)",0.0253875,0.0457875,0.0699625,-0.330965754133532
49,"Permuted block randomization (factor = 1)","lm_time","favor_B_2step (eta>0)",0.02435,0.046575,0.0695625,-0.330230655392784
49,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp (eta>0)",0.0447625,0.045525,0.0879,-0.331027626005484
49,"Permuted block randomization (factor = 1)","lm_time","favor_all_exp_2step (eta>0)",0.0450875,0.0457625,0.0885,-0.330281914205497
49,"Permuted block randomization (factor = 1)","lm_time","PBR (eta=0)",0.025,0.0255375,0.0496875,NA
1,"Big stick design (a = 3)","ttest","favor_B (eta>0)",0.0280625,0.03135,0.053625,-0.00417135416666673
1,"Big stick design (a = 3)","ttest","favor_B_2step (eta>0)",0.0196125,0.039,0.0534625,0.000303124999999997
1,"Big stick design (a = 3)","ttest","favor_all_exp (eta>0)",0.0287625,0.029825,0.0528,-0.00400156250000006
1,"Big stick design (a = 3)","ttest","favor_all_exp_2step (eta>0)",0.0308625,0.0298,0.0551625,6.71875000000099e-05
13,"Big stick design (a = 3)","ttest","favor_B (eta>0)",0.0274375,0.035075,0.0579125,-0.107343067204459
13,"Big stick design (a = 3)","ttest","favor_B_2step (eta>0)",0.0202375,0.0397875,0.055775,-0.104823468749073
13,"Big stick design (a = 3)","ttest","favor_all_exp (eta>0)",0.029575,0.0296,0.0544375,-0.107344321248869
13,"Big stick design (a = 3)","ttest","favor_all_exp_2step (eta>0)",0.029725,0.0310125,0.055875,-0.104965619971255
25,"Big stick design (a = 3)","ttest","favor_B (eta>0)",0.0264625,0.0371875,0.0596125,-0.197354210018246
25,"Big stick design (a = 3)","ttest","favor_B_2step (eta>0)",0.0216125,0.040125,0.0578875,-0.19514100672603
25,"Big stick design (a = 3)","ttest","favor_all_exp (eta>0)",0.0294,0.0306,0.05615,-0.197324116775746
25,"Big stick design (a = 3)","ttest","favor_all_exp_2step (eta>0)",0.0294625,0.0294625,0.05525,-0.195045007477613
37,"Big stick design (a = 3)","ttest","favor_B (eta>0)",0.0257,0.040975,0.0629125,-0.271089622127512
37,"Big stick design (a = 3)","ttest","favor_B_2step (eta>0)",0.023225,0.0407875,0.0600375,-0.268990927649811
37,"Big stick design (a = 3)","ttest","favor_all_exp (eta>0)",0.029825,0.030375,0.0569125,-0.270927860863618
37,"Big stick design (a = 3)","ttest","favor_all_exp_2step (eta>0)",0.0295875,0.030725,0.056675,-0.26894206289529
49,"Big stick design (a = 3)","ttest","favor_B (eta>0)",0.02595,0.0424625,0.0651125,-0.329012262691491
49,"Big stick design (a = 3)","ttest","favor_B_2step (eta>0)",0.0244125,0.0427375,0.063575,-0.328765080487834
49,"Big stick design (a = 3)","ttest","favor_all_exp (eta>0)",0.0309,0.032925,0.0605375,-0.32901390042484
49,"Big stick design (a = 3)","ttest","favor_all_exp_2step (eta>0)",0.0305625,0.0315375,0.0588,-0.328799288809324
1,"Big stick design (a = 3)","lm_time","favor_B (eta>0)",0.0277875,0.03245,0.0543375,-0.00400208333333341
1,"Big stick design (a = 3)","lm_time","favor_B_2step (eta>0)",0.0188375,0.04015,0.053525,0.000461458333333405
1,"Big stick design (a = 3)","lm_time","favor_all_exp (eta>0)",0.0287625,0.02915,0.0519375,-0.00406197916666666
1,"Big stick design (a = 3)","lm_time","favor_all_exp_2step (eta>0)",0.031675,0.031325,0.056875,0.000145312499999939
13,"Big stick design (a = 3)","lm_time","favor_B (eta>0)",0.0270875,0.032125,0.0547375,-0.10732786375076
13,"Big stick design (a = 3)","lm_time","favor_B_2step (eta>0)",0.020125,0.03865,0.0547625,-0.10459420249558
13,"Big stick design (a = 3)","lm_time","favor_all_exp (eta>0)",0.0292375,0.0308125,0.0556125,-0.107351979824893
13,"Big stick design (a = 3)","lm_time","favor_all_exp_2step (eta>0)",0.0317875,0.031325,0.057925,-0.104642682980116
25,"Big stick design (a = 3)","lm_time","favor_B (eta>0)",0.0260375,0.0316875,0.0549,-0.197368943524685
25,"Big stick design (a = 3)","lm_time","favor_B_2step (eta>0)",0.021925,0.0375875,0.05675,-0.194776148720602
25,"Big stick design (a = 3)","lm_time","favor_all_exp (eta>0)",0.0315625,0.0302,0.058225,-0.197506249187275
25,"Big stick design (a = 3)","lm_time","favor_all_exp_2step (eta>0)",0.031025,0.03075,0.0585625,-0.195198263416188
37,"Big stick design (a = 3)","lm_time","favor_B (eta>0)",0.0258,0.0306375,0.0547125,-0.270921490998901
37,"Big stick design (a = 3)","lm_time","favor_B_2step (eta>0)",0.0239875,0.033525,0.055875,-0.268793201541891
37,"Big stick design (a = 3)","lm_time","favor_all_exp (eta>0)",0.02965,0.0298125,0.057625,-0.271090085015243
37,"Big stick design (a = 3)","lm_time","favor_all_exp_2step (eta>0)",0.0306625,0.0308625,0.05955,-0.269226717637665
49,"Big stick design (a = 3)","lm_time","favor_B (eta>0)",0.0248875,0.0311,0.0551125,-0.328988576658063
49,"Big stick design (a = 3)","lm_time","favor_B_2step (eta>0)",0.025425,0.0315625,0.0561,-0.328960542609272
49,"Big stick design (a = 3)","lm_time","favor_all_exp (eta>0)",0.030825,0.032125,0.0618625,-0.328869665251118
49,"Big stick design (a = 3)","lm_time","favor_all_exp_2step (eta>0)",0.0318125,0.0303375,0.061075,-0.328776920687196
1,"Complete randomization","ttest","favor_B (eta>0)",0.02635,0.0269875,0.0484125,0.00016458333333332
1,"Complete randomization","ttest","favor_B_2step (eta>0)",0.01955,0.03615,0.0512875,-0.000194270833333269
1,"Complete randomization","ttest","favor_all_exp (eta>0)",0.0270625,0.0261125,0.04855,-0.000173958333333335
1,"Complete randomization","ttest","favor_all_exp_2step (eta>0)",0.028975,0.0275375,0.0517625,-0.000264062500000032
13,"Complete randomization","ttest","favor_B (eta>0)",0.02535,0.02995,0.050675,-0.103091776694529
